iceberg_id,datetime,latitude,longitude,target_latitude,target_longitude,predicted_latitude,predicted_longitude,prediction_error_km,predicted_movement_km,trajectory_uncertainty,movement_risk,iceberg_risk_score,iceberg_risk_level
a22a,2002-05-09,-76.3373,-47.1293,-76.3373,-47.1293,-76.3306382640918,-47.13361997059434,0.7493947587475898,0.7493947587475898,0.04981335282973528,0.07052452543452294,5.809782187165034,Low
a22a,2002-05-10,-76.3373,-47.1293,-76.3373,-47.1293,-76.33457017212385,-47.13028241896586,0.30463796505777235,0.30463796505777235,0.02024972587760868,0.02866906615539133,2.361746198872174,Low
a22a,2002-05-11,-76.3373,-47.1293,-76.3373,-47.1293,-76.33305304942674,-47.12437333561647,0.48965192192189605,0.48965192192189605,0.03254787101956342,0.046080478971264036,3.796091420024367,Low
a22a,2002-05-12,-76.3373,-47.1293,-76.3373,-47.1293,-76.33592355316276,-47.13102051059374,0.15958616332116154,0.15958616332116154,0.010607922950443702,0.015018437616177665,1.2372128816737287,Low
a22a,2002-05-13,-76.3373,-47.1293,-76.3373,-47.1293,-76.3346848984801,-47.129883474497376,0.29118963995663516,0.29118963995663516,0.019355796269198422,0.027403462500473943,2.257486276170863,Low
a22a,2002-05-14,-76.3373,-47.1293,-76.3373,-47.1293,-76.32918932759387,-47.117363553620606,0.954833404758491,0.954833404758491,0.06346915658222853,0.08985807807377985,7.402472517884906,Low
a22a,2002-05-15,-76.3373,-47.1293,-76.3373,-47.1293,-76.33021958383654,-47.1194219356841,0.8289739197789809,0.8289739197789809,0.05510309469152243,0.07801361246202732,6.426730179972438,Low
a22a,2002-05-16,-76.3373,-47.1293,-76.3217,-46.9733,-76.33563546458379,-47.13093476990184,4.423129492580862,0.19000351473502583,0.2940118108028429,0.017880973347042615,18.355947582052277,Low
a22a,2002-05-17,-76.3217,-46.9733,-76.3217,-46.9733,-76.31230260974617,-46.95935680769969,1.1074337094532438,1.1074337094532438,0.07361271941203633,0.10421908599935824,8.585526604696508,Low
a22a,2002-05-18,-76.3217,-46.9733,-76.3217,-46.9733,-76.31557139533818,-46.95671885364078,0.8090557920024248,0.8090557920024248,0.05377910794747379,0.07613914444288422,6.272312254563796,Low
a22a,2002-05-19,-76.3217,-46.9733,-76.3217,-46.9733,-76.31656160404111,-46.9679843678357,0.5882171174327194,0.5882171174327194,0.03909964203664124,0.05535631598055797,4.560231161420793,Low
